Column1,Column2,Column 3,gram_similarity
घोडामा सवार एकजना भाँचिएको हवाइजहाजमाथि हाम फाल्छन्।,"एक व्यक्ति डिनरमा छ, ओमलेट अर्डर गर्दै।",0,0.0
घोडामा सवार एकजना भाँचिएको हवाइजहाजमाथि हाम फाल्छन्।,"एक व्यक्ति घोडामा, बाहिर छ।",1,0.0
बच्चाहरू मुस्कुराउँदै र क्यामेरामा हात हल्लाउँदै,बच्चाहरु उपस्थित छन्,1,0.0
बच्चाहरू मुस्कुराउँदै र क्यामेरामा हात हल्लाउँदै,केटाकेटीहरू निहुरिरहेका छन्,0,0.0
एउटा केटा रातो पुलको बीचमा स्केटबोर्डमा हाम फाल्दै छ।,केटा फुटपाथ तल स्केट गर्दै।,0,0.0
एउटा केटा रातो पुलको बीचमा स्केटबोर्डमा हाम फाल्दै छ।,केटाले स्केटबोर्डिङ ट्रिक गर्छ।,1,0.0
एक वृद्ध मानिस कफी पसलको सानो टेबलमा सुन्तलाको जुस लिएर बसिरहेका छन् भने चम्किलो रंगको शर्ट लगाएका कर्मचारीहरू पृष्ठभूमिमा मुस्कुराउँदै छन्।,एउटा केटा बर्गर पल्टाउँछ।,0,0.0
दुई गोरा महिला एक अर्कालाई अँगालो हाल्दै छन्।,महिलाहरु सुतिरहेका छन् ।,0,0.0
दुई गोरा महिला एक अर्कालाई अँगालो हाल्दै छन्।,त्यहाँ स्नेह देखाउने महिलाहरू छन्।,1,0.0
"रेस्टुरेन्ट सेटिङमा केही मानिसहरू, तिनीहरूमध्ये एक सुन्तलाको जुस पिइरहेका छन्।",विद्यालयमा मानिसहरु डेस्कमा बसिरहेका छन् ।,0,0.0
"रेस्टुरेन्ट सेटिङमा केही मानिसहरू, तिनीहरूमध्ये एक सुन्तलाको जुस पिइरहेका छन्।",खाना खानेहरू रेस्टुरेन्टमा छन्।,1,0.0
एक वृद्ध मानिस रेस्टुरेन्टमा सुन्तलाको जुस पिइरहेका छन्।,एकजना मानिस जुस पिइरहेका छन्।,1,0.3333333333333333
एक वृद्ध मानिस रेस्टुरेन्टमा सुन्तलाको जुस पिइरहेका छन्।,दुई महिला रेस्टुरेन्टमा रक्सी पिइरहेका छन्।,0,0.0
"सुनौलो कपाल भएको मानिस, र खैरो शर्ट लगाएको सार्वजनिक पानीको झरनाबाट पिउँदै।",खैरो शर्ट लगाएको एक गोरो मानिस पार्कको बेन्चमा किताब पढ्दै छ,0,0.14285714285714285
"सुनौलो कपाल भएको मानिस, र खैरो शर्ट लगाएको सार्वजनिक पानीको झरनाबाट पिउँदै।",एक गोरा मानिस फोहराबाट पानी पिउदै।,1,0.0
भर्खरै खाजा खाएका दुई महिलालाई अँगालो हालेर बिदाइ गर्दै।,साथीहरू पूर्ण डिनर टेबलमा एकअर्कालाई रिसाउँछन्।,0,0.0
भर्खरै खाजा खाएका दुई महिलालाई अँगालो हालेर बिदाइ गर्दै।,यो तस्बिरमा दुई महिला छन् ।,1,0.5
"दुई महिला, खाना बोक्ने कन्टेनर समात्दै, अँगालो।",प्रतिद्वन्द्वी गिरोहका दुई समूह एकअर्कालाई पल्टाए।,0,0.0
"दुई महिला, खाना बोक्ने कन्टेनर समात्दै, अँगालो।",दुई महिलाले एकअर्कालाई अँगालो हाल्छन्।,1,0.25
लिटिल लिग टोलीले दिउँसोको खेलमा आधारमा सर्दै गरेको धावकलाई समात्ने प्रयास गर्छ।,एक टोली रनर आउट ट्याग गर्न कोशिस गर्दैछ।,1,0.0
लिटिल लिग टोलीले दिउँसोको खेलमा आधारमा सर्दै गरेको धावकलाई समात्ने प्रयास गर्छ।,एउटा टोली शनिमा बेसबल खेल्दै छ।,0,0.0
पार्टीहरूमा अन्य संस्कृतिहरू कसरी व्यवहार गरिन्छ भन्ने बारे अमेरिकी संस्कृति देखाउन विद्यालयले विशेष कार्यक्रम गरिरहेको छ।,एउटा विद्यालयले बास्केटबल खेल आयोजना गर्छ।,0,0.0
पार्टीहरूमा अन्य संस्कृतिहरू कसरी व्यवहार गरिन्छ भन्ने बारे अमेरिकी संस्कृति देखाउन विद्यालयले विशेष कार्यक्रम गरिरहेको छ।,एउटा विद्यालयले कार्यक्रम आयोजना गर्दैछ।,1,0.0
उच्च फेसनका महिलाहरू सहरमा मानिसहरूको भीडको छेउमा ट्राम बाहिर पर्खिरहेका छन्।,महिलाले कस्तो लुगा लगाउँछन् भन्ने वास्ता गर्दैनन् ।,0,0.0
उच्च फेसनका महिलाहरू सहरमा मानिसहरूको भीडको छेउमा ट्राम बाहिर पर्खिरहेका छन्।,महिलाहरू ट्रामको पर्खाइमा छन्।,1,0.0
"एक पुरुष, महिला, र बच्चा एक समुद्र तट मा रमाइलो गर्दै।",तीन जनाको परिवार समुद्र तटमा छ।,1,0.5
